# 인도네시아 자카르타 종합지수 · 야후 파이낸스 chart API ^JKSE · 종가 · 받은 날 2026-09-15 · scripts/precursor_sources.py
# ⚠ 장중에 받으면 마지막 행이 그날 진행 중 값이다. 하루 지나 다시 받으면 확정된다.
date,close
2005-01-03,1000.88
2005-01-04,1018.54
2005-01-05,1015.43
2005-01-06,1029.89
2005-01-07,1032.53
2005-01-10,1015.48
2005-01-11,1011.67
2005-01-12,1008.58
2005-01-13,1021.67
2005-01-14,1021.34
2005-01-17,1024.89
2005-01-18,1017.73
2005-01-19,1027.81
2005-01-20,1035.75
2005-01-24,1030.72
2005-01-25,1026.89
2005-01-26,1037.51
2005-01-27,1044.99
2005-01-28,1046.48
2005-01-31,1045.44
2005-02-01,1047.53
2005-02-02,1052.82
2005-02-03,1049.33
2005-02-04,1048.39
2005-02-07,1041.63
2005-02-08,1036.60
2005-02-11,1045.87
2005-02-14,1050.73
2005-02-15,1067.20
2005-02-16,1073.44
2005-02-17,1082.98
2005-02-18,1092.49
2005-02-21,1093.78
2005-02-22,1099.91
2005-02-23,1102.93
2005-02-24,1102.02
2005-02-25,1083.38
2005-02-28,1073.83
2005-03-01,1093.28
2005-03-02,1082.75
2005-03-03,1094.60
2005-03-04,1103.01
2005-03-07,1105.30
2005-03-08,1114.21
2005-03-09,1116.81
2005-03-10,1108.05
2005-03-14,1123.48
2005-03-15,1119.00
2005-03-16,1138.23
2005-03-17,1134.59
2005-03-18,1147.87
2005-03-21,1151.56
2005-03-22,1152.60
2005-03-23,1142.15
2005-03-24,1114.55
2005-03-28,1100.24
2005-03-29,1070.30
2005-03-30,1065.13
2005-03-31,1080.17
2005-04-01,1095.07
2005-04-04,1100.20
2005-04-05,1096.53
2005-04-06,1103.29
2005-04-07,1111.62
2005-04-08,1111.23
2005-04-11,1105.98
2005-04-12,1110.88
2005-04-13,1116.67
2005-04-14,1108.44
2005-04-15,1096.52
2005-04-18,1060.19
2005-04-19,1062.69
2005-04-20,1070.95
2005-04-21,1047.80
2005-04-25,1019.88
2005-04-26,1031.77
2005-04-27,1032.22
2005-04-28,1038.36
2005-04-29,1029.61
2005-05-02,1026.52
2005-05-03,1033.50
2005-05-04,1049.58
2005-05-06,1068.28
2005-05-09,1080.21
2005-05-10,1071.16
2005-05-11,1057.08
2005-05-12,1063.83
2005-05-13,1059.27
2005-05-16,1048.79
2005-05-17,1045.77
2005-05-18,1040.26
2005-05-19,1045.46
2005-05-20,1048.11
2005-05-23,1045.15
2005-05-25,1049.06
2005-05-26,1054.36
2005-05-27,1061.49
2005-05-30,1062.96
2005-05-31,1088.17
2005-06-01,1082.94
2005-06-02,1091.46
2005-06-03,1092.50
2005-06-06,1096.83
2005-06-07,1092.81
2005-06-08,1095.51
2005-06-09,1094.19
2005-06-10,1096.93
2005-06-13,1100.88
2005-06-14,1105.89
2005-06-15,1119.58
2005-06-16,1125.76
2005-06-17,1141.82
2005-06-20,1147.71
2005-06-21,1133.33
2005-06-22,1134.69
2005-06-23,1137.42
2005-06-24,1135.67
2005-06-27,1119.90
2005-06-28,1127.82
2005-06-29,1126.86
2005-06-30,1122.38
2005-07-01,1138.99
2005-07-04,1138.88
2005-07-05,1131.17
2005-07-06,1117.81
2005-07-07,1108.40
2005-07-08,1110.56
2005-07-11,1123.46
2005-07-12,1129.11
2005-07-13,1132.79
2005-07-14,1136.57
2005-07-15,1131.46
2005-07-18,1128.44
2005-07-19,1132.02
2005-07-20,1140.66
2005-07-21,1157.51
2005-07-22,1172.24
2005-07-25,1169.75
2005-07-26,1178.00
2005-07-27,1178.11
2005-07-28,1186.61
2005-07-29,1182.30
2005-08-01,1178.22
2005-08-02,1189.33
2005-08-03,1192.20
2005-08-04,1185.33
2005-08-05,1174.09
2005-08-08,1158.59
2005-08-09,1162.80
2005-08-10,1176.84
2005-08-11,1167.97
2005-08-12,1153.97
2005-08-15,1118.27
2005-08-16,1113.82
2005-08-18,1100.30
2005-08-19,1087.95
2005-08-22,1076.35
2005-08-23,1066.09
2005-08-24,1035.44
2005-08-25,1061.85
2005-08-26,1048.87
2005-08-29,994.77
2005-08-30,1039.82
2005-08-31,1050.09
2005-09-01,1039.23
2005-09-05,1035.89
2005-09-06,1051.59
2005-09-07,1059.38
2005-09-08,1080.45
2005-09-09,1098.46
2005-09-12,1105.66
2005-09-13,1085.74
2005-09-14,1058.63
2005-09-15,1050.91
2005-09-16,1056.73
2005-09-19,1066.59
2005-09-20,1055.59
2005-09-21,1044.06
2005-09-22,1016.76
2005-09-23,1012.85
2005-09-26,1034.58
2005-09-27,1037.63
2005-09-28,1027.89
2005-09-29,1048.30
2005-09-30,1079.28
2005-10-03,1083.41
2005-10-04,1101.17
2005-10-05,1104.06
2005-10-06,1096.38
2005-10-07,1094.65
2005-10-10,1102.78
2005-10-11,1105.63
2005-10-12,1102.98
2005-10-13,1090.54
2005-10-14,1096.70
2005-10-17,1090.09
2005-10-18,1095.87
2005-10-19,1075.91
2005-10-20,1075.40
2005-10-21,1075.96
2005-10-24,1073.08
2005-10-25,1062.17
2005-10-26,1062.18
2005-10-27,1063.70
2005-10-28,1058.26
2005-10-31,1066.22
2005-11-01,1064.95
2005-11-09,1052.82
2005-11-10,1043.70
2005-11-11,1028.98
2005-11-14,1017.73
2005-11-15,1022.08
2005-11-16,1025.83
2005-11-17,1033.28
2005-11-18,1054.98
2005-11-21,1062.46
2005-11-22,1066.29
2005-11-23,1061.08
2005-11-24,1078.18
2005-11-25,1074.40
2005-11-28,1081.06
2005-11-29,1082.28
2005-11-30,1096.64
2005-12-01,1096.37
2005-12-02,1119.42
2005-12-05,1120.58
2005-12-06,1123.44
2005-12-07,1151.36
2005-12-08,1158.32
2005-12-09,1160.07
2005-12-12,1175.01
2005-12-13,1182.03
2005-12-14,1173.72
2005-12-15,1155.96
2005-12-16,1143.43
2005-12-19,1162.33
2005-12-20,1163.03
2005-12-21,1160.56
2005-12-22,1164.02
2005-12-23,1158.34
2005-12-27,1161.71
2005-12-28,1164.14
2005-12-29,1162.64
2006-01-02,1171.71
2006-01-03,1184.69
2006-01-04,1211.70
2006-01-05,1211.00
2006-01-06,1222.25
2006-01-09,1245.05
2006-01-11,1261.28
2006-01-12,1256.25
2006-01-13,1250.43
2006-01-16,1235.26
2006-01-17,1212.87
2006-01-18,1193.20
2006-01-19,1230.06
2006-01-20,1222.89
2006-01-23,1200.13
