# 국제 금 **현물** 시세 (USD/트로이온스, 일별) · XAU/USD
#   창구 — investing.com API(instrumentId 68). scripts/gold_spot.py 가 만든다.
#   ⚠ 직접 HTTP 는 403 이라 **Aside 브라우저**로만 받는다. cron 에서 못 돈다.
#   ⚠ **1985년 이전은 종가만 믿는다** — 시·고·저가 종가 복사다.
#      실측 flat 비율: 1980~84 100% · 1985~89 29% · 1990~94 3% · 1995~ 2%.
#      이 파일 전체 flat 비율 14.5%.
#   ⚠ 월별(금가격_월별_1833)은 현물, 일별(금가격_일별)은 COMEX 선물이다.
#      선물은 콘탱고로 현물보다 중앙 +0.5% 높다. 셋을 섞어 쓰지 않는다.
date,open,high,low,close
1980-03-26,508.00,508.00,508.00,508.00
1980-03-27,485.25,485.25,485.25,485.25
1980-03-28,490.00,490.00,490.00,490.00
1980-03-31,495.00,495.00,495.00,495.00
1980-04-01,509.50,509.50,509.50,509.50
1980-04-02,500.50,500.50,500.50,500.50
1980-04-03,485.75,485.75,485.75,485.75
1980-04-04,485.75,485.75,485.75,485.75
1980-04-07,485.75,485.75,485.75,485.75
1980-04-08,528.00,528.00,528.00,528.00
1980-04-09,554.00,554.00,554.00,554.00
1980-04-10,526.00,526.00,526.00,526.00
1980-04-11,530.50,530.50,530.50,530.50
1980-04-14,529.75,529.75,529.75,529.75
1980-04-15,497.50,497.50,497.50,497.50
1980-04-16,520.00,520.00,520.00,520.00
1980-04-17,513.00,513.00,513.00,513.00
1980-04-18,515.60,515.60,515.60,515.60
1980-04-21,506.00,506.00,506.00,506.00
1980-04-22,506.00,506.00,506.00,506.00
1980-04-23,506.50,506.50,506.50,506.50
1980-04-24,515.70,515.70,515.70,515.70
1980-04-25,551.50,551.50,551.50,551.50
1980-04-28,524.25,524.25,524.25,524.25
1980-04-29,513.75,513.75,513.75,513.75
1980-04-30,518.00,518.00,518.00,518.00
1980-05-01,490.00,490.00,490.00,490.00
1980-05-02,512.50,512.50,512.50,512.50
1980-05-05,515.00,515.00,515.00,515.00
1980-05-06,512.50,512.50,512.50,512.50
1980-05-07,512.50,512.50,512.50,512.50
1980-05-08,515.75,515.75,515.75,515.75
1980-05-09,508.25,508.25,508.25,508.25
1980-05-12,513.25,513.25,513.25,513.25
1980-05-13,512.00,512.00,512.00,512.00
1980-05-14,525.00,525.00,525.00,525.00
1980-05-15,517.00,517.00,517.00,517.00
1980-05-16,516.50,516.50,516.50,516.50
1980-05-19,514.25,514.25,514.25,514.25
1980-05-20,507.75,507.75,507.75,507.75
1980-05-21,513.50,513.50,513.50,513.50
1980-05-22,513.50,513.50,513.50,513.50
1980-05-23,511.25,511.25,511.25,511.25
1980-05-26,511.25,511.25,511.25,511.25
1980-05-27,514.80,514.80,514.80,514.80
1980-05-28,526.50,526.50,526.50,526.50
1980-05-29,519.60,519.60,519.60,519.60
1980-05-30,535.50,535.50,535.50,535.50
1980-06-02,561.50,561.50,561.50,561.50
1980-06-03,552.50,552.50,552.50,552.50
1980-06-04,571.50,571.50,571.50,571.50
1980-06-05,581.75,581.75,581.75,581.75
1980-06-06,581.75,581.75,581.75,581.75
1980-06-09,623.75,623.75,623.75,623.75
1980-06-10,604.00,604.00,604.00,604.00
1980-06-11,596.00,596.00,596.00,596.00
1980-06-12,590.00,590.00,590.00,590.00
1980-06-13,608.40,608.40,608.40,608.40
1980-06-16,590.00,590.00,590.00,590.00
1980-06-17,591.75,591.75,591.75,591.75
1980-06-18,602.50,602.50,602.50,602.50
1980-06-19,599.00,599.00,599.00,599.00
1980-06-20,602.50,602.50,602.50,602.50
1980-06-23,602.50,602.50,602.50,602.50
1980-06-24,603.00,603.00,603.00,603.00
1980-06-25,622.50,622.50,622.50,622.50
1980-06-26,624.50,624.50,624.50,624.50
1980-06-27,637.50,637.50,637.50,637.50
1980-06-30,653.50,653.50,653.50,653.50
1980-07-01,660.00,660.00,660.00,660.00
1980-07-02,661.50,661.50,661.50,661.50
1980-07-03,663.50,663.50,663.50,663.50
1980-07-04,663.50,663.50,663.50,663.50
1980-07-07,667.50,667.50,667.50,667.50
1980-07-08,687.50,687.50,687.50,687.50
1980-07-09,671.00,671.00,671.00,671.00
1980-07-10,656.50,656.50,656.50,656.50
1980-07-11,666.70,666.70,666.70,666.70
1980-07-14,650.00,650.00,650.00,650.00
1980-07-15,619.50,619.50,619.50,619.50
1980-07-16,624.75,624.75,624.75,624.75
1980-07-17,627.25,627.25,627.25,627.25
1980-07-18,606.00,606.00,606.00,606.00
1980-07-21,617.50,617.50,617.50,617.50
1980-07-22,613.00,613.00,613.00,613.00
1980-07-23,631.25,631.25,631.25,631.25
1980-07-24,643.00,643.00,643.00,643.00
1980-07-25,651.75,651.75,651.75,651.75
1980-07-28,643.50,643.50,643.50,643.50
1980-07-29,646.75,646.75,646.75,646.75
1980-07-30,629.00,629.00,629.00,629.00
1980-07-31,614.25,614.25,614.25,614.25
1980-08-01,622.00,622.00,622.00,622.00
1980-08-04,630.75,630.75,630.75,630.75
1980-08-05,630.50,630.50,630.50,630.50
1980-08-06,627.75,627.75,627.75,627.75
1980-08-07,629.50,629.50,629.50,629.50
1980-08-08,630.00,630.00,630.00,630.00
1980-08-11,617.00,617.00,617.00,617.00
1980-08-12,605.00,605.00,605.00,605.00
1980-08-13,615.25,615.25,615.25,615.25
1980-08-14,626.00,626.00,626.00,626.00
1980-08-15,624.50,624.50,624.50,624.50
1980-08-18,612.50,612.50,612.50,612.50
1980-08-19,624.00,624.00,624.00,624.00
1980-08-20,634.75,634.75,634.75,634.75
1980-08-21,645.25,645.25,645.25,645.25
1980-08-22,639.20,639.20,639.20,639.20
1980-08-25,634.75,634.75,634.75,634.75
1980-08-26,628.85,628.85,628.85,628.85
1980-08-27,633.85,633.85,633.85,633.85
1980-08-28,635.30,635.30,635.30,635.30
1980-08-29,631.25,631.25,631.25,631.25
1980-09-01,631.25,631.25,631.25,631.25
1980-09-02,640.00,640.00,640.00,640.00
1980-09-03,636.75,636.75,636.75,636.75
1980-09-04,647.25,647.25,647.25,647.25
1980-09-05,651.00,651.00,651.00,651.00
1980-09-08,672.00,672.00,672.00,672.00
1980-09-09,670.50,670.50,670.50,670.50
1980-09-10,686.50,686.50,686.50,686.50
1980-09-11,674.00,674.00,674.00,674.00
1980-09-12,685.50,685.50,685.50,685.50
1980-09-15,666.50,666.50,666.50,666.50
1980-09-16,668.00,668.00,668.00,668.00
1980-09-17,673.00,673.00,673.00,673.00
1980-09-18,672.25,672.25,672.25,672.25
1980-09-19,674.00,674.00,674.00,674.00
1980-09-22,710.00,710.00,710.00,710.00
1980-09-23,711.00,711.00,711.00,711.00
1980-09-24,710.50,710.50,710.50,710.50
1980-09-25,697.75,697.75,697.75,697.75
1980-09-26,698.25,698.25,698.25,698.25
1980-09-29,679.25,679.25,679.25,679.25
1980-09-30,666.75,666.75,666.75,666.75
1980-10-01,682.00,682.00,682.00,682.00
1980-10-02,665.75,665.75,665.75,665.75
1980-10-03,660.50,660.50,660.50,660.50
1980-10-06,675.80,675.80,675.80,675.80
1980-10-07,678.15,678.15,678.15,678.15
1980-10-08,677.00,677.00,677.00,677.00
1980-10-09,690.00,690.00,690.00,690.00
1980-10-10,685.25,685.25,685.25,685.25
1980-10-13,685.25,685.25,685.25,685.25
1980-10-14,668.50,668.50,668.50,668.50
1980-10-15,678.30,678.30,678.30,678.30
1980-10-16,674.00,674.00,674.00,674.00
1980-10-17,670.50,670.50,670.50,670.50
1980-10-20,657.00,657.00,657.00,657.00
1980-10-21,652.50,652.50,652.50,652.50
1980-10-22,660.00,660.00,660.00,660.00
1980-10-23,634.50,634.50,634.50,634.50
1980-10-24,633.00,633.00,633.00,633.00
1980-10-27,637.25,637.25,637.25,637.25
1980-10-28,631.75,631.75,631.75,631.75
1980-10-29,644.00,644.00,644.00,644.00
