일자,시장,종목수,상승,하락,하락비율,급락비율
20260130,코스닥,1700,512,1188,69.88,7.65
20260130,코스피,884,280,604,68.33,3.51
20260202,코스닥,1707,281,1426,83.54,20.91
20260202,코스피,915,116,799,87.32,14.32
20260203,코스닥,1696,1400,296,17.45,1.24
20260203,코스피,903,827,76,8.42,0.11
20260204,코스닥,1666,1048,618,37.09,3.54
20260204,코스피,907,751,156,17.2,0.66
20260205,코스닥,1683,433,1250,74.27,14.68
20260205,코스피,887,308,579,65.28,7.33
20260206,코스닥,1687,402,1285,76.17,9.66
20260206,코스피,895,192,703,78.55,5.81
20260209,코스닥,1687,1363,324,19.21,2.43
20260209,코스피,891,717,174,19.53,1.01
20260210,코스닥,1679,1020,659,39.25,5.24
20260210,코스피,900,691,209,23.22,1.56
20260211,코스닥,1661,817,844,50.81,3.67
20260211,코스피,881,541,340,38.59,2.04
20260212,코스닥,1645,902,743,45.17,3.1
20260212,코스피,892,618,274,30.72,1.68
20260213,코스닥,1692,407,1285,75.95,10.64
20260213,코스피,885,337,548,61.92,3.5
20260219,코스닥,1692,1111,581,34.34,4.96
20260219,코스피,901,668,233,25.86,0.89
20260220,코스닥,1673,648,1025,61.27,5.62
20260220,코스피,887,546,341,38.44,1.69
20260223,코스닥,1684,886,798,47.39,5.52
20260223,코스피,895,547,348,38.88,4.13
20260224,코스닥,1660,910,750,45.18,2.59
20260224,코스피,875,408,467,53.37,2.06
20260225,코스닥,1672,659,1013,60.59,4.67
20260225,코스피,883,448,435,49.26,1.93
20260226,코스닥,1693,437,1256,74.19,8.68
20260226,코스피,902,240,662,73.39,7.65
20260227,코스닥,1684,496,1188,70.55,7.24
20260227,코스피,893,264,629,70.44,4.26
20260303,코스닥,1726,184,1542,89.34,38.7
20260303,코스피,917,75,842,91.82,34.13
20260304,코스닥,1732,25,1707,98.56,87.64
20260304,코스피,924,13,911,98.59,88.85
20260305,코스닥,1724,1671,53,3.07,0.41
20260305,코스피,922,901,21,2.28,0.54
20260306,코스닥,1692,1216,476,28.13,1.77
20260306,코스피,888,526,362,40.77,2.14
20260309,코스닥,1723,164,1559,90.48,45.27
20260309,코스피,924,73,851,92.1,33.01
20260310,코스닥,1701,1415,286,16.81,2.29
20260310,코스피,903,755,148,16.39,2.21
20260311,코스닥,1682,1161,521,30.98,1.72
20260311,코스피,903,702,201,22.26,0.78
20260312,코스닥,1669,1022,647,38.77,2.22
20260312,코스피,894,572,322,36.02,1.45
20260313,코스닥,1669,884,785,47.03,3.54
20260313,코스피,892,338,554,62.11,3.48
20260316,코스닥,1677,529,1148,68.46,7.45
20260316,코스피,896,249,647,72.21,3.35
20260317,코스닥,1658,954,704,42.46,5.55
20260317,코스피,890,631,259,29.1,1.57
20260318,코스닥,1666,1017,649,38.96,2.34
20260318,코스피,896,616,280,31.25,2.01
