# 메모리 반도체 수출물가지수 · 한국은행 ECOS 402Y016 · **달러 기준**(환율 영향 제외) · 2020=100
# ⚠ 트렌드포스의 «가격»과 다르다 — 이것은 지수이고 통관 기준이라 한 달 늦다
# 검량 계약통화기준과 절대 편차 중앙 1.241%
연월,DRAM,플래시메모리,시스템반도체,DRAM_계약통화
198709,554409.78,,,547615.15
198710,554409.78,,,547615.15
198711,554409.78,,,547615.15
198712,554409.78,,,547615.15
198801,554409.78,,,547615.15
198802,554409.78,,,547615.15
198803,639369.93,,,631534.03
198804,556766.06,,,549942.62
198805,622087.33,,,614463.27
198806,622087.33,,,614463.27
198807,622087.33,,,614463.27
198808,622087.33,,,614463.27
198809,628926.73,,,621218.97
198810,628926.73,,,621218.97
198811,628926.73,,,621218.97
198812,628926.73,,,621218.97
198901,628926.73,,,621218.97
198902,628926.73,,,621218.97
198903,628926.73,,,621218.97
198904,628926.73,,,621218.97
198905,633022.64,,,625264.61
198906,628926.73,,,621218.97
198907,612525.55,,,605018.49
198908,608432.72,,,600976.03
198909,602965.22,,,595575.46
198910,530570.50,,,524067.94
198911,530570.50,,,524067.94
198912,525102.69,,,518667.38
199001,545124.40,,370.05,538443.65
199002,545124.40,,370.05,538443.65
199003,545124.40,,370.05,538443.65
199004,545124.40,,370.05,538443.65
199005,545124.40,,370.05,538443.65
199006,545124.40,,370.05,538443.65
199007,470874.65,,370.05,465103.87
199008,470874.65,,370.05,465103.87
199009,470874.65,,370.05,465103.87
199010,322844.82,,370.05,318888.15
199011,322844.82,,370.05,318888.15
199012,310156.54,,370.05,306355.37
199101,310156.54,,370.05,306355.37
199102,310156.54,,370.05,306355.37
199103,310156.54,,370.05,306355.37
199104,310156.54,,370.05,306355.37
199105,310156.54,,370.05,306355.37
199106,310156.54,,370.05,306355.37
199107,310156.54,,370.05,306355.37
199108,310156.54,,370.05,306355.37
199109,310156.54,,370.05,306355.37
199110,322375.43,,370.05,318424.62
199111,318615.39,,370.05,314710.47
199112,318615.39,,370.05,314710.47
199201,318615.39,,350.80,314710.47
199202,318615.39,,350.80,314710.47
199203,318615.39,,350.80,314710.47
199204,318615.39,,350.80,314710.47
199205,291359.46,,350.80,287788.50
199206,297939.09,,350.80,294287.65
199207,297939.09,,350.80,294287.65
199208,291359.46,,350.80,287788.50
199209,291359.46,,350.80,287788.50
199210,291359.46,,350.80,287788.50
199211,291359.46,,350.80,287788.50
199212,291359.46,,350.80,287788.50
199301,291359.46,,350.80,287788.50
199302,291359.46,,350.80,287788.50
199303,304047.69,,350.80,300321.54
199304,304047.69,,350.80,300321.54
199305,304047.69,,350.80,300321.54
199306,304047.69,,350.80,300321.54
199307,313916.60,,382.62,310069.27
199308,321906.08,,382.62,317960.79
199309,321906.08,,382.62,317960.79
199310,339762.74,,382.62,335598.61
199311,339762.74,,382.62,335598.61
199312,339762.74,,382.62,335598.61
199401,336002.70,,382.62,331884.77
199402,336002.70,,382.62,331884.77
199403,336002.70,,382.62,331884.77
199404,342582.38,,382.62,338383.92
199405,342582.38,,382.62,338383.92
199406,340232.15,,382.62,336062.44
199407,322375.43,,382.62,318424.62
199408,322375.43,,382.62,318424.62
199409,322375.43,,382.62,318424.62
199410,314385.99,,382.62,310532.80
199411,314385.99,,382.62,310532.80
199412,314385.99,,382.62,310532.80
199501,308172.42,,385.40,304395.43
199502,308172.42,,384.13,304395.43
199503,306903.82,,381.44,303142.58
199504,306903.82,,383.11,303142.58
199505,317049.14,,381.44,313163.34
199506,321488.21,,381.70,317548.23
199507,327829.44,,382.73,323811.59
199508,322439.31,,384.13,318487.46
199509,322439.31,,383.49,318487.46
199510,322439.31,,382.33,318487.46
199511,322439.31,,379.93,318487.46
199512,318635.23,,381.70,314730.08
199601,299929.26,,380.42,296253.40
199602,280905.55,,380.42,277463.06
199603,253638.99,,381.06,250530.38
199604,213373.85,,379.53,210758.81
199605,147110.68,,401.73,145307.91
199606,118259.44,,399.94,116810.22
199607,115722.49,,400.21,114304.24
199608,101773.13,,394.08,100525.86
199609,87188.75,,394.72,86120.16
199610,90992.83,,393.18,89877.56
199611,75774.88,,393.56,74846.28
199612,69116.38,,392.17,68269.30
199701,59606.12,,384.65,58875.56
199702,61508.02,,384.65,60754.29
199703,64043.74,,381.45,63258.79
199704,64994.57,,380.42,64198.02
199705,63727.68,,380.04,62946.60
199706,62459.08,,380.57,61693.72
199707,58971.07,,380.57,58248.31
199708,53898.43,,361.17,53237.78
199709,49776.86,,343.32,49166.74
199710,44069.19,,344.47,43528.95
199711,35510.02,,348.03,35074.71
199712,27900.18,,348.03,27558.25
199801,26315.75,,323.54,25993.18
199802,25680.76,,323.54,25365.87
199803,24412.16,,318.32,24113.04
199804,21876.44,,318.32,21608.49
199805,18388.41,,318.32,18163.08
199806,15217.95,,309.02,15031.28
199807,14584.39,,309.02,14405.70
199808,14901.88,,309.02,14719.30
199809,14901.88,,303.92,14719.30
199810,15535.45,,295.24,15344.88
199811,16804.06,,295.24,16598.01
199812,17119.87,,295.24,16910.20
199901,17437.37,,292.72,17223.85
199902,17754.87,,292.72,17537.26
199903,17119.87,,258.26,16910.20
199904,16169.01,,258.26,15970.70
199905,13633.29,,258.26,13466.20
199906,11096.37,,258.26,10960.24
199907,12682.23,,258.26,12526.97
199908,13950.82,,262.08,13779.86
199909,15852.94,,262.08,15658.53
199910,19023.46,,259.80,18790.34
199911,19657.02,,263.11,19416.16
199912,18705.96,,263.11,18476.68
200001,18851.76,14478.96,268.85,18620.86
200002,14977.84,13604.85,268.21,14794.26
200003,12841.81,15584.27,269.81,12684.39
200004,13878.03,15946.30,269.92,13707.80
200005,14857.90,16020.50,275.52,14675.80
200006,16221.96,15980.81,273.13,16023.21
200007,18692.42,16365.49,273.48,18463.14
200008,19559.80,16372.38,274.08,19320.17
200009,17955.57,17931.12,269.75,17735.55
200010,14316.93,23178.15,269.57,14141.59
200011,10596.54,22034.90,269.78,10466.65
200012,9554.32,19417.44,266.39,9437.24
200101,8577.34,17986.34,265.05,8472.38
200102,7474.39,15644.64,262.66,7382.97
200103,6839.40,13406.48,261.19,6755.72
200104,6380.64,14210.11,256.61,6302.52
200105,5358.27,13135.84,256.80,5292.46
200106,3962.00,11744.20,250.34,3913.62
200107,2672.35,10299.31,242.61,2639.45
200108,2072.14,9763.05,242.24,2046.78
200109,2014.36,8856.12,244.33,1989.69
200110,1657.42,7599.04,231.67,1637.13
200111,1791.14,5605.80,231.15,1769.17
200112,2110.12,5959.21,225.70,2084.25
200201,3494.27,5897.10,225.33,3451.27
200202,4911.63,5210.79,225.28,4851.38
200203,5783.57,5623.06,223.23,5712.74
200204,5093.91,6059.28,223.39,5031.55
200205,4044.19,6681.80,223.70,3994.60
200206,3159.88,6400.60,226.02,3121.17
200207,3614.26,5948.85,220.76,3569.97
200208,3466.73,6012.70,218.47,3424.43
200209,3228.30,5676.33,219.05,3188.64
200210,3193.46,5104.08,216.27,3154.31
200211,3406.00,5104.08,214.97,3364.43
200212,3334.69,5104.08,214.96,3293.80
200301,3336.16,4591.71,215.19,3295.28
200302,3011.13,4367.70,207.40,2974.14
200303,3037.00,4367.70,207.45,2999.75
200304,3286.08,4367.70,207.27,3245.69
200305,2903.26,4069.27,206.65,2867.75
200306,2865.33,3876.29,203.61,2830.02
200307,3115.85,3876.29,203.52,3077.62
200308,3466.73,3876.29,198.92,3424.43
200309,3565.63,4005.67,197.61,3521.85
200310,3605.04,4205.52,196.06,3560.81
200311,3810.09,4205.52,196.07,3763.44
200312,3955.94,4205.52,196.14,3907.56
200401,3954.46,4205.52,197.40,3947.95
200402,4194.62,4205.52,195.76,4186.65
200403,4300.76,4205.52,195.61,4291.56
200404,4688.16,4205.52,198.29,4677.27
200405,4376.92,4010.83,198.43,4371.14
200406,4282.64,3536.47,197.89,4278.26
200407,4194.62,3400.41,197.79,4191.22
200408,3884.61,2489.82,196.48,3883.63
200409,3793.45,2314.10,196.99,3791.96
200410,3750.89,2569.16,197.28,3748.43
200411,3594.41,2402.06,196.12,3592.48
200412,3343.89,2283.01,196.25,3341.73
200501,3444.23,2229.14,190.73,3444.23
200502,3271.35,2228.91,189.31,3271.35
200503,2829.54,2234.93,189.09,2829.54
200504,2419.87,2244.65,184.44,2419.87
200505,2239.51,2286.05,182.61,2239.51
200506,2240.94,2156.44,182.30,2240.94
200507,2224.00,2200.67,178.80,2224.00
200508,2262.21,2058.14,178.00,2262.21
200509,2203.69,2079.92,178.06,2203.69
200510,2124.84,2050.38,174.83,2124.84
200511,1979.79,2080.12,174.41,1979.79
200512,1778.59,2025.38,171.90,1778.59
200601,1871.92,1937.17,169.73,1871.92
200602,1864.68,1731.47,170.88,1864.68
200603,1770.85,1257.51,170.87,1770.85
200604,1810.74,1234.03,166.03,1810.74
200605,1860.78,1184.66,166.47,1860.78
200606,1844.09,1156.18,166.06,1844.09
200607,1891.04,1089.98,165.32,1891.04
200608,2030.08,931.27,165.33,2030.08
200609,2408.31,1028.97,165.14,2408.31
200610,2391.12,1060.44,165.04,2391.12
200611,2274.77,936.67,166.26,2274.77
200612,2213.11,746.05,166.44,2213.11
200701,2004.67,608.06,166.42,2004.67
200702,1654.75,489.04,159.95,1654.75
200703,1303.18,606.32,160.70,1303.18
200704,1231.81,724.51,159.28,1231.81
200705,972.13,715.88,156.95,972.13
200706,1030.16,723.41,156.60,1030.16
200707,1100.74,887.52,154.45,1100.74
200708,1028.00,936.67,157.30,1028.00
200709,868.37,831.00,156.16,868.37
200710,637.69,735.26,156.30,637.69
200711,569.97,682.46,153.61,569.97
200712,447.87,471.80,153.16,447.87
200801,420.30,393.31,152.79,420.30
200802,442.32,381.22,151.12,442.32
200803,432.84,354.91,149.84,432.84
200804,437.92,393.94,149.96,437.92
200805,500.08,372.39,153.43,500.08
200806,532.73,332.70,153.48,532.73
200807,546.97,279.46,153.94,546.97
200808,513.14,234.16,152.42,513.14
200809,418.56,203.14,151.30,418.56
200810,347.49,191.47,152.16,347.49
200811,286.31,169.07,153.66,286.31
200812,236.52,169.50,152.91,236.52
200901,211.84,199.91,156.78,211.84
200902,221.74,269.54,159.79,221.74
200903,225.38,294.97,157.32,225.38
200904,229.98,352.75,155.32,229.98
200905,262.88,390.51,151.40,262.88
200906,281.48,385.12,136.98,281.48
200907,292.87,387.05,137.79,292.87
200908,331.53,402.80,137.77,331.53
200909,369.02,453.25,136.85,369.02
200910,416.15,495.70,137.59,416.15
200911,503.72,439.42,137.34,503.72
200912,522.85,413.12,138.89,522.85
201001,532.34,444.23,138.95,532.34
201002,539.82,431.15,138.76,539.82
201003,542.49,440.34,138.85,542.49
201004,569.44,441.31,138.53,569.44
201005,584.81,416.34,138.81,584.81
201006,579.57,404.57,138.63,579.57
201007,556.73,407.25,139.20,556.73
201008,497.27,382.40,139.68,497.27
201009,483.24,363.54,139.69,483.24
201010,424.93,334.32,140.42,424.93
201011,332.72,319.19,140.77,332.72
201012,267.15,341.17,138.99,267.15
201101,226.62,325.49,137.92,226.62
201102,220.70,332.35,139.34,220.70
201103,223.53,337.50,137.99,223.53
201104,238.09,340.54,140.00,238.09
201105,251.30,309.85,141.89,251.30
201106,247.96,298.12,139.61,247.96
201107,217.41,287.45,138.49,217.41
201108,168.94,287.30,138.10,168.94
201109,138.96,289.85,139.65,138.96
201110,134.33,280.40,135.84,134.33
201111,130.48,272.14,137.64,130.48
201112,116.44,253.31,137.84,116.44
201201,114.52,227.71,138.04,114.52
201202,114.52,220.34,139.29,114.52
201203,117.22,211.45,138.19,117.22
201204,119.78,184.63,136.36,119.78
201205,122.69,168.40,136.09,122.69
201206,145.64,167.97,136.49,145.64
201207,144.07,183.24,135.68,144.07
201208,136.58,186.55,136.32,136.58
201209,124.26,195.07,134.30,124.26
201210,112.93,216.29,134.30,112.93
201211,110.04,208.88,134.34,110.04
201212,106.28,216.52,136.67,106.28
201301,115.01,218.02,136.23,115.01
201302,122.94,217.35,136.57,122.94
201303,151.27,216.29,135.37,151.27
201304,176.09,224.84,135.43,176.09
201305,184.96,217.87,135.10,184.96
201306,192.64,231.01,136.10,192.64
201307,194.61,227.08,135.43,194.61
201308,193.27,220.74,135.06,193.27
201309,196.77,222.32,134.24,196.77
201310,209.82,208.53,134.24,209.82
201311,212.53,195.62,134.19,212.53
201312,214.02,197.34,134.23,214.02
201401,214.64,193.37,134.27,214.64
201402,213.37,191.47,136.03,213.37
201403,212.87,183.60,136.03,212.87
201404,209.03,181.76,132.49,209.03
201405,209.03,185.96,131.85,209.03
201406,210.66,191.52,130.68,210.66
201407,212.14,191.15,130.04,212.14
201408,216.38,191.90,130.04,216.38
201409,217.07,191.72,130.04,217.07
201410,216.18,191.12,130.04,216.18
201411,216.38,190.37,128.99,216.38
201412,214.02,186.00,128.99,214.02
201501,210.37,176.51,128.99,210.37
201502,206.33,171.55,128.99,206.33
201503,201.79,163.68,128.99,201.79
201504,196.43,158.48,128.99,196.43
201505,191.89,158.48,128.99,191.89
201506,185.58,156.07,128.99,185.58
201507,178.54,153.44,128.99,178.54
201508,167.46,148.99,128.99,167.46
201509,159.63,143.75,128.99,159.63
201510,153.57,137.01,128.99,153.57
